台文漢字諺語（台羅 | 白話字）
鴨仔聽雷（ah-á thiann luî | ah-á thiaⁿ lûi）
愛媠毋驚流鼻水（ài-suí m̄-kiann lâu-phīnn-tsuí | ài-súi m̄-kiaⁿ lâu-phīⁿ-chúi）
按怎講攏毋聽（án-tsuánn kóng lóng m̄ thiann | án-chóaⁿ kóng lóng m̄ thiaⁿ）
目睭花花，匏仔看做菜瓜（ba̍k-tsiu hue-hue, pû-á khuànn-tsò tshài-kue | ba̍k-chiu hoe-hoe, pû-á khòaⁿ-chò chhài-koe）
目睭看大無看細（ba̍k-tsiu khuànn tuā bô khuànn sè | ba̍k-chiu khòaⁿ tōa bô khòaⁿ sè）
目睭看懸，無看低（ba̍k-tsiu khuànn-kuân, bô khuànn-kē | ba̍k-chiu khòaⁿ-koân, bô khòaⁿ-kē）
目睭生佇頭殼頂（ba̍k-tsiu senn tī thâu-khak-tíng | ba̍k-chiu seⁿ tī thâu-khak-téng）
目屎流，目屎滴（ba̍k-sái-lâu ba̍k-sái-tih | ba̍k-sái-lâu ba̍k-sái-tih）
萬事起頭難（bān-sū khí-thâu lân | bān-sū khí-thâu lân）
無魚，蝦嘛好（bô hî, hê mā hó | bô hî, hê mā hó）
無禁無忌，食百二（bô kìm bô khī, tsia̍h pah-jī | bô kìm bô khī, chia̍h pah-jī）
未學走，先學飛（buē o̍h kiânn, sin o̍h pue | bōe o̍h kiâⁿ, sin o̍h poe）
墓仔埔放炮，吵死人（bōng-á-poo pàng-phàu, tshá sí lâng | bōng-á-po͘ pàng-phàu, chhá sí lâng）
早早嘛三个囝，慢慢嘛三个囝（tsá tsá mā sann ê kiánn, bān bān mā sann ê kiánn | chá chá mā saⁿ ê kiáⁿ, bān bān mā saⁿ ê kiáⁿ）
田無溝，水無流（tshân bô kau, tsuí bô lâu | chhân bô kau, chúi bô lâu）
田頭田尾土地公（tshân thâu tshân bué Thóo-tī-kong | chhân thâu chhân bóe Thó͘-tī-kong）
飼鳥鼠咬布袋（tshī niáu-tshí kā pòo-tē | chhī niáu-chhí kā pò͘-tē）
請神容易，送神難（tshiánn sîn iông-ī, sàng sîn lân | chhiáⁿ sîn iông-ī, sàng sîn lân）
千金買厝，萬金買厝邊（tshian-kim bé tshù, bān kim bé tshù-pinn | chhian-kim bé chhù, bān kim bé chhù-piⁿ）
七月半鴨仔，毋知死活（Tshit-gue̍h-puànn ah-á, m̄-tsai sí ua̍h | Chhit-goe̍h-pòaⁿ ah-á, m̄-chai sí oa̍h）
手抱囡仔，才知父母時（tshiú phō gín-á, tsiah tsai pē-bú sî | chhiú phō gín-á, chiah chai pē-bú sî）
食好鬥相報（tsia̍h hó tàu sio-pò | chia̍h hó tàu sio-pò）
食果子拜樹頭（tsia̍h kué-tsí pài tshiū-thâu | chia̍h kóe-chí pài chhiū-thâu）
食人一口，還人一斗（tsia̍h lâng tsi̍t kháu, hîng lâng tsi̍t táu | chia̍h lâng chi̍t kháu, hêng lâng chi̍t táu）
食飯皇帝大（tsia̍h-pn̄g hông-tè tuā | chia̍h-pn̄g hông-tè tōa）
石獅嘛驚人告（tsio̍h sai mā kiann lâng kò | chio̍h sai mā kiaⁿ lâng kò）
一个錢拍二十四个結（tsi̍t ê tsînn phah jī-tsa̍p-sì ê kat | chi̍t ê chîⁿ phah jī-cha̍p-sì ê kat）
一个人一款命（tsi̍t ê lâng tsi̍t khuán miā | chi̍t ê lâng chi̍t khoán miā）
一日討海，三日曝網（tsi̍t ji̍t thó-hái, sann ji̍t pha̍k bāng | chi̍t ji̍t thó-hái, saⁿ ji̍t pha̍k bāng）
一枝草、一點露（tsi̍t ki tsháu, tsi̍t tiám lōo | chi̍t ki chháu, chi̍t tiám lō͘）
一句話，三斤重（tsi̍t kù uē, sann kin tāng | chi̍t kù ōe, saⁿ kin tāng）
一人一家代，公媽隨人拜（tsi̍t lâng tsi̍t ke tāi, kong-má suî-lâng pài | chi̍t lâng chi̍t ke tāi, kong-má sûi-lâng pài）
一點嘛貓，百點嘛貓（tsi̍t tiám mā niau, pah tiám mā niau | chi̍t tiám mā niau, pah tiám mā niau）
水鬼騙城隍（tsuí kuí phiàn Sîng-hông | chúi kúi phiàn Sêng-hông）
攑頭三尺有神明（gia̍h-thâu sann tshioh ū sîn-bîng | gia̍h-thâu saⁿ chhioh ū sîn-bêng）
戇人有戇福（gōng-lâng ū gōng hok | gōng-lâng ū gōng hok）
牛就是牛，牽到北京也是牛（gû tō sī gû, khan kah Pak-kiann iā sī gû | gû tō sī gû, khan kah Pak-kiaⁿ iā sī gû）
十喙九尻川（ha̍p tshuì káu kha-tshng | ha̍p chhùi káu kha-chhng）
校長兼摃鐘（hāu-tiúnn kiam kòng tsing | hāu-tiúⁿ kiam kòng cheng）
好馬毋食回頭草（hó bé m̄ tsia̍h huê thâu tsháu | hó bé m̄ chia̍h hôe thâu chháu）
好來好去（hó lâi hó khì | hó lâi hó khì）
虎頭鳥鼠仔尾（hóo thâu niáu-tshí-á bué | hó͘ thâu niáu-chhí-á bóe）
好酒沉甕底（hó-tsiú tîm àng-té | hó-chiú tîm àng-té）
好漢破腹來相見（hó-hàn phuà-pak lâi sann-kìnn | hó-hàn phòa-pak lâi saⁿ-kìⁿ）
好心予雷唚（hó-sim hōo luî tsim | hó-sim hō͘ lûi chim）
歡歡喜喜一工，煩煩惱惱也一工（huann-huann-hí-hí tsi̍t kang, huân-huân-ló-ló iā tsi̍t kang | hoaⁿ-hoaⁿ-hí-hí chi̍t kang, hoân-hoân-ló-ló iā chi̍t kang）
胭脂馬拄著關老爺（ian-tsi-bé tú-tio̍h Kuan-ló-iâ | ian-chi-bé tú-tio̍h Koan-ló-iâ）
枵鬼假細膩（Iau-kuí ké sè-jī | Iau-kúi ké sè-jī）
一山不容二虎（it san put iông jī hoó | it san put iông jī hó͘）
